lat,lon,flow_area
19206232.450422253,1783358.5830228669,Perimeter 2
19206215.403791294,1783358.5830228669,Perimeter 2
19206073.916754317,1783430.1788729029,Perimeter 2
19205898.33645542,1783512.0027015156,Perimeter 2
19205774.594435975,1783505.869770236,Perimeter 2
19205486.274875276,1783419.584354261,Perimeter 2
19205200.05983692,1783337.5079829674,Perimeter 2
19204941.203588992,1783265.954223378,Perimeter 2
19204764.059966445,1782854.069981222,Perimeter 2
19204605.65876361,1782568.0678094414,Perimeter 2
19204482.457828075,1782290.8657044847,Perimeter 2
19204438.457493953,1782132.4645016524,Perimeter 2
19204346.056792304,1781947.6630983478,Perimeter 2
19204271.256224297,1781881.6625971678,Perimeter 2
19204033.654420048,1782128.0644682404,Perimeter 2
19203874.28941224,1782264.4722507691,Perimeter 2
19203983.89549906,1782479.2107065804,Perimeter 2
19204066.659278907,1782658.1594197564,Perimeter 2
19204091.264726967,1782761.0549298325,Perimeter 2
19204081.198861852,1782816.9764026997,Perimeter 2
19204048.76440759,1782938.8852135509,Perimeter 2
19202894.90747112,1782391.629577791,Perimeter 2
19203068.11918642,1781891.2401780428,Perimeter 2
19203167.555541497,1781698.7827166012,Perimeter 2
19203279.822394002,1781576.8929910215,Perimeter 2
19203305.483388864,1781464.626138514,Perimeter 2
19203305.483388864,1781198.393316853,Perimeter 2
19203305.483388864,1780912.914749048,Perimeter 2
19203372.84350037,1780855.1775106154,Perimeter 2
19203376.051124725,1780582.5294402398,Perimeter 2
19203372.84350037,1779658.73362532,Perimeter 2
19203353.59775422,1779350.8016870134,Perimeter 2
19203379.258749083,1779254.5729562927,Perimeter 2
19203465.864606727,1778911.357150055,Perimeter 2
19203530.017093875,1778577.7642168896,Perimeter 2
19203552.47046438,1778218.510288865,Perimeter 2
19203494.733225945,1778122.2815581444,Perimeter 2
19203465.86460673,1777997.1842082073,Perimeter 2
19203481.902728517,1777872.0868582702,Perimeter 2
19203507.563723374,1777650.7607776122,Perimeter 2
19203526.80946952,1777573.7777930356,Perimeter 2
19203574.92383488,1777509.6253058885,Perimeter 2
19203639.076322027,1777362.0745854499,Perimeter 2
