lat,lon,flow_area
16.081799,108.216316,Perimeter 1
16.081826,108.215858,Perimeter 1
16.081945,108.231462,Perimeter 2
16.082005,108.242983,Perimeter 2
16.08229,108.242986,Perimeter 2
16.082367,108.217774,Perimeter 1
16.082909,108.218314,Perimeter 1
16.083554,108.244274,Perimeter 2
16.083629,108.216483,Perimeter 1
16.084385,108.219739,Perimeter 1
16.0846701,108.247703,Perimeter 2
16.085414,108.215902,Perimeter 1
16.085604,108.232527,Perimeter 2
16.086563110351562,108.2416000366211,Perimeter 2
16.086699,108.24102,Perimeter 2
16.086904525756836,108.24163055419922,Perimeter 2
16.08799,108.220936,Perimeter 1
16.0881,108.235225,Perimeter 2
16.088785,108.23548,Perimeter 2
16.089082717895508,108.23448181152344,Perimeter 2
16.089127,108.242416,Perimeter 2
16.0891998,108.2357128,Perimeter 2
16.0892524,108.2338406,Perimeter 2
16.089326,108.234291,Perimeter 2
16.089336,108.246574,Perimeter 2
16.08942,108.24408,Perimeter 2
16.08946,108.23209,Perimeter 2
16.089548,108.23556,Perimeter 2
16.089853,108.235348,Perimeter 2
16.089883,108.217052,Perimeter 1
16.089975,108.245887,Perimeter 2
16.090431,108.24279,Perimeter 2
16.090647,108.24308,Perimeter 2
16.090819,108.233977,Perimeter 2
16.09112,108.243134,Perimeter 2
16.091543,108.233201,Perimeter 2
16.091667,108.233385,Perimeter 2
16.091714,108.245848,Perimeter 2
16.09176,108.234887,Perimeter 2
16.091773,108.231031,Perimeter 2
16.092038,108.2325729,Perimeter 2
16.092179,108.230813,Perimeter 2
16.092804,108.234901,Perimeter 2
16.092826,108.231153,Perimeter 2
16.09291,108.234343,Perimeter 2
16.0929393,108.2310551,Perimeter 2
16.0929634,108.2331993,Perimeter 2
16.092989,108.23459,Perimeter 2
16.0931785,108.2334797,Perimeter 2
16.0933364,108.2308005,Perimeter 2
16.0938031,108.2341345,Perimeter 2
16.0942688,108.2342998,Perimeter 2
16.0944418,108.2337834,Perimeter 2
16.094848,108.228745,Perimeter 2
16.09583282470703,108.2244644165039,Perimeter 2
16.096544,108.249939,Perimeter 2
