station_name,gauge_height,latitude,longitude,project_x,project_y
station_0407,10,,,19203661.77,1781945.62
station_0408,10,,,19203891.44,1781945.21
station_0409,10,,,19204040.41,1781946.05
station_0410,10,,,19203921.78,1781968.63
station_0411,10,,,19203635.09,1781989.97
station_0412,10,,,19203992.83,1782036.88
station_0413,10,,,19204011.23,1782088.23
station_0414,10,,,19203956.18,1782108.14
station_0415,10,,,19203417.21,1782160.37
station_0416,10,,,19202960.26,1782275.61
station_0417,10,,,19205689.41,1782317.89
station_0418,10,,,19205603.08,1782631.36
station_0419,10,,,19205776.26,1782734.74
station_0420,10,,,19205852.74,1782740.28
station_0421,10,,,19206093.79,1782740.05
station_0422,10,,,19205803.37,1782776.37
station_0423,10,,,19206153.57,1782789.33
station_0424,10,,,19205744.75,1782974.80
station_0425,10,,,19206188.24,1783165.66
station_0426,10,,,19206082.72,1783188.34
station_0427,10,,,19205921.02,1783206.11
